service_id,service_name,domain,language,team_owner,lead_engineer,on_call_engineer,tier,slo_availability,slo_p99_ms,primary_database,cache,message_queue,external_vendors,internal_dependencies,deployment_region,repo,pod_count_prod,monthly_req_millions
auth-service,Auth Service,Identity & Access,Go 1.21,Team Identity,Priya Sharma,Priya Sharma,Tier 1,99.95%,120,postgresql-auth,redis-session,,google-oauth;twilio-sms,session-service,ap-south-1,github/meridian/auth-service,12,340
user-service,User Service,Identity & Access,Node.js 20,Team Identity,Arjun Mehta,Arjun Mehta,Tier 1,99.90%,200,postgresql-users,,,,auth-service;s3-documents,ap-south-1,github/meridian/user-service,6,120
session-service,Session Service,Identity & Access,Go 1.21,Team Identity,Priya Sharma,Priya Sharma,Tier 1,99.95%,50,,redis-session,,,,ap-south-1,github/meridian/session-service,4,890
kyc-service,KYC Service,Identity & Access,Python 3.11,Team Compliance,Rohan Verma,Rohan Verma,Tier 2,99.50%,2000,postgresql-compliance,,,,user-service;hyperverge-kyc;s3-documents,ap-south-1,github/meridian/kyc-service,3,8
api-gateway,API Gateway,Infrastructure,Go 1.21,Team Platform,Kavya Reddy,Kavya Reddy,Tier 1,99.99%,30,,redis-ratelimit,,,auth-service;rate-limiter-service,ap-south-1,github/meridian/api-gateway,20,2300
payment-service,Payment Service,Payments Core,Java 21,Team Payments,Siddharth Nair,Siddharth Nair,Tier 1,99.95%,300,postgresql-payments,,kafka-payments,razorpay;stripe,api-gateway;auth-service;fraud-detection-service;ledger-service,ap-south-1,github/meridian/payment-service,16,480
ledger-service,Ledger Service,Payments Core,Java 21,Team Payments,Neha Kapoor,Neha Kapoor,Tier 1,99.99%,100,postgresql-ledger,,kafka-payments,,,ap-south-1,github/meridian/ledger-service,6,480
reconciliation-service,Reconciliation Service,Payments Core,Python 3.11,Team Payments,Neha Kapoor,Neha Kapoor,Tier 2,99.50%,,postgresql-ledger,,,stripe;razorpay;sendgrid,ledger-service,ap-south-1,github/meridian/reconciliation-service,2,0.03
payout-service,Payout Service,Payments Core,Java 21,Team Payments,Siddharth Nair,Siddharth Nair,Tier 1,99.90%,,postgresql-payments,,kafka-payments,razorpay,ledger-service,ap-south-1,github/meridian/payout-service,4,18
fx-service,FX Service,Payments Core,Python 3.11,Team Payments,Aditya Kumar,Aditya Kumar,Tier 2,99.90%,150,postgresql-payments,redis-fx,,open-exchange-rates,,ap-south-1,github/meridian/fx-service,3,96
fraud-detection-service,Fraud Detection Service,Data & Analytics,Python 3.11,Team Risk,Meera Iyer,Meera Iyer,Tier 1,99.90%,80,postgresql-risk,redis-fraud,,sagemaker-fraud,payment-service,ap-south-1,github/meridian/fraud-detection-service,8,480
loan-service,Loan Service,Lending,Java 21,Team Lending,Vikram Rao,Vikram Rao,Tier 1,99.90%,500,postgresql-lending,,kafka-lending,,auth-service;user-service;underwriting-service;disbursement-service,ap-south-1,github/meridian/loan-service,6,24
underwriting-service,Underwriting Service,Lending,Python 3.11,Team Risk,Meera Iyer,Meera Iyer,Tier 2,99.50%,3000,postgresql-risk,,,cibil-bureau;experian-bureau;sagemaker-credit,loan-service,ap-south-1,github/meridian/underwriting-service,4,12
disbursement-service,Disbursement Service,Lending,Java 21,Team Lending,Vikram Rao,Vikram Rao,Tier 1,99.90%,,,,kafka-lending,,loan-service;payout-service;ledger-service,ap-south-1,github/meridian/disbursement-service,3,12
notification-service,Notification Service,Notifications,Node.js 20,Team Platform,Ananya Singh,Ananya Singh,Tier 1,99.90%,,postgresql-notifications,,kafka-notifications,sendgrid;twilio-sms;firebase-push,,ap-south-1,github/meridian/notification-service,8,600
webhook-service,Webhook Service,Notifications,Node.js 20,Team Platform,Ananya Singh,Ananya Singh,Tier 2,99.90%,,postgresql-notifications,redis-webhook,,,notification-service,ap-south-1,github/meridian/webhook-service,4,280
reporting-service,Reporting Service,Data & Analytics,Python 3.11,Team Data,Rahul Gupta,Rahul Gupta,Tier 2,99.50%,600000,,,,,redshift-warehouse;s3-reports;sendgrid,ap-south-1,github/meridian/reporting-service,3,2
analytics-service,Analytics Service,Data & Analytics,Python 3.11,Team Data,Rahul Gupta,Rahul Gupta,Tier 2,99.90%,800,,redis-analytics,,,redshift-warehouse;postgresql-payments,ap-south-1,github/meridian/analytics-service,4,48
ml-pipeline-service,ML Pipeline Service,Data & Analytics,Python 3.11,Team Risk,Meera Iyer,Meera Iyer,Tier 3,99.00%,,,,,,redshift-warehouse;sagemaker-fraud;sagemaker-credit;s3-models,ap-south-1,github/meridian/ml-pipeline-service,2,0.001
rate-limiter-service,Rate Limiter Service,Infrastructure,Go 1.21,Team Platform,Kavya Reddy,Kavya Reddy,Tier 1,99.99%,5,,redis-ratelimit,,,api-gateway,ap-south-1,github/meridian/rate-limiter-service,6,2300
config-service,Config Service,Infrastructure,Go 1.21,Team Platform,Kavya Reddy,Kavya Reddy,Tier 1,99.99%,,postgresql-config,redis-config,,,api-gateway;payment-service;auth-service,ap-south-1,github/meridian/config-service,3,1200
audit-service,Audit Service,Infrastructure,Go 1.21,Team Compliance,Rohan Verma,Rohan Verma,Tier 1,99.99%,,postgresql-audit,,kafka-audit,,,ap-south-1,github/meridian/audit-service,4,2300
search-service,Search Service,Infrastructure,Node.js 20,Team Platform,Arjun Mehta,Arjun Mehta,Tier 2,99.90%,200,,,kafka-payments,,elasticsearch;postgresql-payments,ap-south-1,github/meridian/search-service,4,180
